type,event,id,created_at,modified_at
VISIT_RECENTLY_VISITED_PRODUCT,"{""user-agent"": ""Opera/9.55.(X11; Linux i686; lo-LA) Presto/2.9.177 Version/12.00"", ""ip"": ""87.172.17.121"", ""customer-id"": null, ""product"": 4, ""position"": 5}",1,2025-01-31 12:54:23.643424,2025-01-31 12:54:23.643424
PAGE_VIEW,"{""user-agent"": ""Opera/9.55.(X11; Linux i686; lo-LA) Presto/2.9.177 Version/12.00"", ""ip"": ""87.172.17.121"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/products/4"", ""referrer"": ""https://schmidt.com""}",2,2025-01-31 12:54:23.686198,2025-01-31 12:54:23.686198
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10 12_8 rv:4.0; om-KE) AppleWebKit/531.42.3 (KHTML, like Gecko) Version/4.0 Safari/531.42.3"", ""ip"": ""188.211.254.252"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com""}",3,2025-01-31 12:54:23.775787,2025-01-31 12:54:23.775787
VISIT_PERSONAL_RECOMMENDATION,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10 12_8 rv:4.0; om-KE) AppleWebKit/531.42.3 (KHTML, like Gecko) Version/4.0 Safari/531.42.3"", ""ip"": ""188.211.254.252"", ""customer-id"": null, ""product"": 4, ""position"": 3}",4,2025-01-31 12:54:23.852171,2025-01-31 12:54:23.852171
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10 12_8 rv:4.0; om-KE) AppleWebKit/531.42.3 (KHTML, like Gecko) Version/4.0 Safari/531.42.3"", ""ip"": ""188.211.254.252"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/products/4""}",5,2025-01-31 12:54:23.894786,2025-01-31 12:54:23.894786
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (Windows NT 4.0; kok-IN; rv:1.9.1.20) Gecko/2014-10-02 17:41:48 Firefox/3.8"", ""ip"": ""1.129.30.192"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/category/7""}",6,2025-01-31 12:54:24.047820,2025-01-31 12:54:24.047820
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.2; Trident/5.0)"", ""ip"": ""169.9.11.61"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com"", ""referrer"": ""https://russell.com""}",7,2025-01-31 12:54:24.138966,2025-01-31 12:54:24.138966
SEARCH,"{""user-agent"": ""Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.2; Trident/5.0)"", ""ip"": ""169.9.11.61"", ""customer-id"": null, ""query"": ""Decentralized user-facing paradigm""}",8,2025-01-31 12:54:24.222844,2025-01-31 12:54:24.222844
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_8 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) CriOS/32.0.800.0 Mobile/55U948 Safari/532.1"", ""ip"": ""169.17.86.14"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com"", ""referrer"": ""https://williams.com""}",9,2025-01-31 12:54:24.307645,2025-01-31 12:54:24.307645
VISIT_PERSONAL_RECOMMENDATION,"{""user-agent"": ""Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_8 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) CriOS/32.0.800.0 Mobile/55U948 Safari/532.1"", ""ip"": ""169.17.86.14"", ""customer-id"": null, ""product"": 4, ""position"": 6}",10,2025-01-31 12:54:24.393698,2025-01-31 12:54:24.393698
